symbol,sector,companyname,address,previousclose,dividend_yield,fifty_two_week_high,fifty_two_week_low,two_hundered_day_average,market_cap,environment_score,social_score,governance_score,profit_margins,book_value,trailing_eps,shares_outstanding,total_cash,debt_to_equity,return_on_equity,earnings_growth,ebitda,current_liabilities,revenue
AAPL,Technology,Apple Inc.,"One Apple Park Way, Cupertino, CA",162.36,0.0057,178.49,124.17,148.49825,2648887525376.0,0.65,6.86,9.18,0.24558,3.581,5.89,15821899776,51355000832.0,195.868,1.47943,-0.105,125287997440.0,153982000000.0,394328000000.0
MSFT,Technology,Microsoft Corporation,"One Microsoft Way, Redmond, WA",284.05,0.0095999995,315.11,213.43,253.24734,2178158297088.0,1.53,8.39,5.33,0.33048,24.592,9.0,7443800064,99495002112.0,42.583,0.39312,-0.113,97945001984.0,95082000000.0,198270000000.0
GOOG,Communication Services,Alphabet Inc.,"1600 Amphitheatre Parkway, Mountain View, CA",101.32,,144.04375,83.45,101.88245,1364989575168.0,,,,0.21204,19.935,4.56,5968000000,113762000896.0,11.703,0.23621,-0.314,90770997248.0,69300000000.0,282836000000.0
AMZN,Consumer Cyclical,"Amazon.com, Inc.","410 Terry Avenue North, Seattle, WA",102.0,,168.3945,81.43,107.5128,1091207233536.0,5.59,14.8,9.89,-0.00529,14.259,-0.27,10247300096,70026002432.0,116.362,-0.01915,-0.986,54169001984.0,155393000000.0,513983000000.0
NVDA,Technology,NVIDIA Corporation,"2788 San Tomas Expressway, Santa Clara, CA",273.83,0.00059999997,278.34,108.13,172.76495,692202831872.0,2.26,5.16,6.03,0.16193001,8.962,2.35,2492000000,13296000000.0,54.436,0.17934,-0.514,7120999936.0,6563000000.0,26974000000.0
BRK-B,Financial Services,Berkshire Hathaway Inc.,"3555 Farnam Street, Omaha, NE",305.08,,354.33,259.85,295.1509,683360452608.0,0.58,3.8,11.65,-0.07554,323497.25,-10.37,1298189952,128584998912.0,26.566,-0.044310004,-0.535,-17187999744.0,62502000000.0,302089000000.0
TSLA,Consumer Cyclical,"Tesla, Inc.","1 Tesla Road, Austin, TX",195.28,,384.29,101.81,215.82443,697501286400.0,2.78,16.16,9.61,0.15413,14.129,3.65,3164100096,22185000960.0,12.523,0.32490003,0.569,17439000576.0,26709000000.0,81462000000.0
META,Communication Services,"Meta Platforms, Inc.","1601 Willow Road, Menlo Park, CA",207.84,,236.86,88.09,150.60425,562270437376.0,1.02,21.01,10.51,0.19895001,48.092,8.49,2225760000,40738000896.0,21.699,0.18516001,-0.52,42240999424.0,27026000000.0,116609000000.0
JNJ,Healthcare,Johnson & Johnson,"One Johnson & Johnson Plaza, New Brunswick, NJ",153.43,0.0298,186.69,150.11,168.26524,483575201792.0,0.74,15.79,8.55,0.18897,29.386,6.73,3119840000,23519000576.0,53.329,0.2379,-0.254,32717000704.0,55802000000.0,94943000000.0
V,Financial Services,Visa Inc.,"PO Box 8999, San Francisco, CA",222.36,0.0081,234.3,174.6,208.4602,480256851968.0,0.71,7.84,7.52,0.50277,16.981,7.07,1624950016,16119000064.0,55.484,0.41514,0.084,21156999168.0,20853000000.0,29310000000.0
XOM,Energy,Exxon Mobil Corporation,"5959 Las Colinas Boulevard, Irving, TX",109.49,0.0334,119.63,79.29,102.14475,454092226560.0,18.55,9.82,8.1,0.13858,47.783,13.04,4070980096,29639999488.0,23.172,0.30451,0.484,91127996416.0,69045000000.0,402217000000.0
UNH,Healthcare,UnitedHealth Group Incorporated,"UnitedHealth Group Center, Minnetonka, MN",470.06,0.0139999995,558.1,449.7,511.6299,440854151168.0,0.03,11.62,5.89,0.062069997,83.268,21.2,932846976,27911000064.0,72.328,0.25351,0.179,30834999296.0,89237000000.0,324162000000.0
WMT,Consumer Defensive,Walmart Inc.,"702 South West 8th Street, Bentonville, AR",145.67,0.015700001,160.77,117.27,137.7635,397475053568.0,4.4,13.92,6.31,0.01911,28.475,4.27,2695660032,8625000448.0,72.668,0.1284,0.809,35472998400.0,92198000000.0,611289000000.0
JPM,Financial Services,JPMorgan Chase & Co.,"383 Madison Avenue, New York, NY",128.75,0.031,144.34,101.28,125.43125,384321978368.0,1.11,16.18,11.73,0.30805,90.29,12.06,2943360000,1309825040384.0,,0.12849,0.074,,3082706000000.0,122306000000.0
MA,Financial Services,Mastercard Incorporated,"2000 Purchase Street, Purchase, NY",359.26,0.0063,390.0,276.87,339.9171,351501778944.0,0.32,8.1,8.57,0.44654998,6.588,10.06,945723008,7408000000.0,231.974,1.44028,0.086,13374000128.0,14171000000.0,22237000000.0
PG,Consumer Defensive,The Procter & Gamble Company,"One Procter & Gamble Plaza, Cincinnati, OH",147.45,0.0249,164.9,122.18,141.5793,351860031488.0,9.54,9.6,7.47,0.17785999,18.491,5.68,2359140096,6854000128.0,77.992,0.32018003,-0.045,21005000704.0,33081000000.0,80187000000.0
LLY,Healthcare,Eli Lilly and Company,"Lilly Corporate Center, Indianapolis, IN",340.69,0.013300001,375.25,276.83,334.65515,327055015936.0,3.43,17.4,11.56,0.2188,11.831,6.92,952347008,2442299904.0,159.06,0.62667,0.13,10175800320.0,17138200000.0,28541400000.0
CVX,Energy,Chevron Corporation,"6001 Bollinger Canyon Road, San Ramon, CA",162.39,0.0372,189.68,132.54,163.98015,311092281344.0,18.61,8.71,10.29,0.14517,83.167,18.29,1906669952,17901000704.0,17.08,0.23724002,0.259,64641998848.0,34208000000.0,244302000000.0
HD,Consumer Cyclical,"The Home Depot, Inc.","2455 Paces Ferry Road, Atlanta, GA",285.36,0.0293,347.25,264.51,300.56616,299534974976.0,3.4,5.51,3.63,0.108669996,1.537,16.69,1014960000,2756999936.0,3224.328,,0.03,27014000640.0,23110000000.0,157403000000.0
ABBV,Healthcare,AbbVie Inc.,"1 North Waukegan Road, North Chicago, IL",157.92,0.0375,175.91,134.09,149.7197,283732770816.0,1.12,16.77,9.95,0.20388001,9.753,6.63,1764140032,9228999680.0,373.593,0.72394997,-0.388,31089000448.0,29538000000.0,58054000000.0
KO,Consumer Defensive,The Coca-Cola Company,"One Coca-Cola Plaza, Atlanta, GA",61.85,0.0297,67.2,54.02,61.05345,268360990720.0,7.88,9.72,4.95,0.22188999,5.57,2.19,4326309888,11630999552.0,163.707,0.37765998,-0.165,13509999616.0,19724000000.0,43004000000.0
MRK,Healthcare,"Merck & Co., Inc.","126 East Lincoln Avenue, Rahway, NJ",105.92,0.0276,115.49,82.73,99.1665,270080589824.0,0.79,11.47,9.57,0.24490999,18.122,5.71,2538589952,13191999488.0,69.445,0.34456003,-0.2,24354000896.0,24239000000.0,59283000000.0
AVGO,Technology,Broadcom Inc.,"1320 Ridder Park Drive, San Jose, CA",633.75,0.029000001,648.5,415.07,535.4664,267473420288.0,8.82,6.92,6.66,0.37188,55.899,29.66,416924000,12647000064.0,169.009,0.55274,0.574,20004999168.0,7052000000.0,33203000000.0
ORCL,Technology,Oracle Corporation,"2300 Oracle Way, Austin, TX",90.51,0.0177,93.0,60.78,78.33445,257545420800.0,0.52,7.71,5.69,0.17458999,-0.897,3.03,2699800064,8769000448.0,,,-0.19,18603999232.0,19511000000.0,42440000000.0
PEP,Consumer Defensive,"PepsiCo, Inc.","700 Anderson Hill Road, Purchase, NY",180.83,0.0254,186.84,154.86,174.463,251083603968.0,4.91,6.55,4.48,0.10313,12.454,6.42,1377309952,5347999744.0,240.184,0.53722,-0.609,14892000256.0,26785000000.0,86392000000.0
PFE,Healthcare,Pfizer Inc.,"66 Hudson Boulevard East, New York, NY",40.38,0.040700004,56.32,39.23,46.77725,231788871680.0,2.83,12.85,9.66,0.31269,17.034,5.43,5644400128,22731999232.0,41.053,0.36222,0.471,44024000512.0,42138000000.0,100330000000.0
BAC,Financial Services,Bank of America Corporation,"Bank of America Corporate Center, Charlotte, NC",28.3,0.0311,41.14,26.32,33.5473,228779409408.0,1.62,14.37,11.16,0.29790002,30.612,3.19,7999280128,725812969472.0,,0.101339996,0.069,,2504509000000.0,92407000000.0
COST,Consumer Defensive,Costco Wholesale Corporation,"999 Lake Drive, Issaquah, WA",491.48,0.0073,612.27,406.51,498.10986,222770167808.0,7.26,11.21,5.72,0.02582,51.39,13.61,443483008,13704999936.0,40.085,0.28428,0.13,9891000320.0,31998000000.0,226954000000.0
